ad_description,ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,condition,construct_date,energetic_certif,floor,garage,garden,ground_size,heating,house_id,house_type,kitchen,lift,loc_city,loc_district,loc_full,loc_neigh,loc_street,loc_zone,m2_real,m2_useful,obtention_date,orientation,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,unfurnished
"EXCLSUIVA Fantástica casa construcción de lujo con aislamientos especiales en paredes, tuberías, tejados, etc.,Porche, txoko, jardín piscina, salón, habitación principal con baño incorporado, otra habitación, otro baño, cocina, Loft en ático zona de estar habitación y baño, totalmente actual y moderno. Garaje para 2 coches cerrados y capacidad de aparcamiento para varios coches sin molestar para accesos a cualquier parte de la casa. ,La parcela de terreno totalmente llana para jardin, huerta y cualquier otro uso.",Anuncio actualizado el 1 de enero,0,1,4,1,0,segunda mano/buen estado,,en trámite,3 plantas,plaza de garaje incluida en el precio,1,,,40391059, Casa o chalet independiente,,,Gordexola,Ibarra," Ibarra , Gordexola , Encartaciones, Vizcaya ",,,"Encartaciones, Vizcaya",5600,,2019-03-29,,630000,0,3,1,1,0,
,más de 5 meses sin actualizar,0,1,3,0,0,segunda mano/para reformar,,no indicado,3 plantas,,0,,,29962907, Casa o chalet independiente,,,Arcentales,"Lehendakari Agirre Hiribidea, 2"," Lehendakari Agirre Hiribidea, 2 , Arcentales , Encartaciones, Vizcaya ",,,"Encartaciones, Vizcaya",580,,2019-03-29,,199000,0,8,0,0,0,
,más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/para reformar,,no indicado,2 plantas,,0,,,36046434, Casa rural,,,Sopuerta,"Las Muñecas Auzoa, 32"," Las Muñecas Auzoa, 32 , Sopuerta , Encartaciones, Vizcaya ",,,"Encartaciones, Vizcaya",260,,2019-03-29,,114000,0,3,0,0,0,
piso situado en una calle peatonal. trastero 6m. todas las habitaciones tienen conexión para tlf y televisión.,más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/buen estado,,,planta 1ª exterior,,0,,,304179,Piso,,0,Balmaseda,"Calle Correria, 38"," Calle Correria, 38 , Balmaseda , Encartaciones, Vizcaya ",,,"Encartaciones, Vizcaya",80,,2019-03-29,,147000,0,2,1,0,0,
"Se vente Casa Rústica con terreno en Karrantza, ubicada entre los barrios de Sierra y Aldeacueva.,Casa de dos alturas con una superficie de 110 m2 por planta, con garaje anexo a la misma.,Para Reformar.",más de 5 meses sin actualizar,0,0,sin baños,0,0,segunda mano/para reformar,,no indicado,2 plantas,,0,,,81987796, Casa de pueblo,,,Carranza,"Aldeacueva Auzoa, 27"," Aldeacueva Auzoa, 27 , Carranza , Encartaciones, Vizcaya ",,,"Encartaciones, Vizcaya",120,110,2019-03-29,,40000,0,sin habitación,0,0,0,
"Casa completamente a reformar.,No tiene terreno.,Tiene 144 m² por planta. 3 Plantas. ,PRECIO A NEGOCIAR.",más de 5 meses sin actualizar,0,0,3,0,0,segunda mano/para reformar,,no indicado,,,0,,,82518974, Casa rural,,,Carranza,Barrio Aldeacueba s/n," Barrio Aldeacueba s/n , Carranza , Encartaciones, Vizcaya ",,,"Encartaciones, Vizcaya",430,,2019-03-29,,40000,0,5,0,0,0,
"Caserio situado a 15 km de bilbao. Consta de 2 vivendas, camarote, planta baja-choco, caseta y terreno de 600 m2. Para reformar.,270.500 euros",más de 5 meses sin actualizar,0,0,sin baños,0,1,segunda mano/para reformar,,no indicado,3 plantas,,1,,,25511044, Casa rural,,,Güeñes,"Ribera de Iorgi, 13"," Ribera de Iorgi, 13 , Güeñes , Encartaciones, Vizcaya ",,,"Encartaciones, Vizcaya",600,,2019-03-29,sur,180000,0,sin habitación,1,0,0,
,más de 5 meses sin actualizar,0,0,2,1,0,segunda mano/buen estado,,,planta 1ª exterior,,0,,,25846411,Dúplex,,0,Carranza,"Calle Ambasaguas Auzoa, 83"," Calle Ambasaguas Auzoa, 83 , Carranza , Encartaciones, Vizcaya ",,,"Encartaciones, Vizcaya",94,92,2019-03-29,"sur, este, oeste",138000,0,3,1,0,1,
,más de 5 meses sin actualizar,0,0,2,1,0,segunda mano/buen estado,,en trámite,planta 2ª exterior,,1,,,26556081,Piso,,1,Güeñes,"Calle Euskadi Plaza, 3"," Calle Euskadi Plaza, 3 , Güeñes , Encartaciones, Vizcaya ",,,"Encartaciones, Vizcaya",70,,2019-03-29,"norte, este, oeste",249000,0,2,0,0,0,
,más de 5 meses sin actualizar,0,0,2,0,0,segunda mano/buen estado,,no indicado,planta 2ª exterior,,0,,,33370153,Ático,,0,Balmaseda,"Calle correria, 39"," Calle correria, 39 , Balmaseda , Encartaciones, Vizcaya ",,,"Encartaciones, Vizcaya",127,,2019-03-29,,160000,0,3,0,0,0,
