ad_description,ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,condition,construct_date,energetic_certif,floor,garage,garden,ground_size,heating,house_id,house_type,kitchen,lift,loc_city,loc_district,loc_full,loc_neigh,loc_street,loc_zone,m2_real,m2_useful,obtention_date,orientation,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,unfurnished
"OPORTUNIDAD! REF. 20 EFIGEST INMOBILIARIA VENDE Casa semireformada con muchisisimas posibilidades construida sobre una finca de 800m2,aproximadamente totalmente cerrada. Se encuentra en el municipio de Santa Comba en la aldea de Tapia. La vivienda fue construida en 1970. En la primera planta tiene cuatro habitaciones y un baño, dos de las habitaciones tienen posibilidad de balcón o galería. La planta baja consta de cocina reformada, una habitacion, comedor, cuarto de baño y salita. En el exterior cuenta con unos alpendres y arboles frutales. Se encuentra a tan solo 5 minutos en coche de Santa Comba, a 35 minutos de Santiago de Compostela y a 30 minutos de la Costa. Pregunten sin compromiso, estaremos encantados de atenderle.",Anuncio actualizado el 10 de abril,0,0,2,0,0,segunda mano/para reformar,1970,en trámite,2 plantas,,1,,,84326617, Casa o chalet independiente,,,Santa Comba,TAPIA s/n," TAPIA s/n , Santa Comba , Xallas, A Coruña ",,,"Xallas, A Coruña",800,,2019-04-13,,79500,0,5,0,0,0,
,más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/buen estado,,no indicado,bajo exterior,plaza de garaje incluida en el precio,0,,,27381814,Piso,,1,Santa Comba,"Calle de Carme Santiso, 5"," Calle de Carme Santiso, 5 , Santa Comba , Xallas, A Coruña ",,,"Xallas, A Coruña",70,57,2019-04-13,,80000,0,2,1,0,0,
Dispone de un gran terreno.,más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/para reformar,,no indicado,,plaza de garaje incluida en el precio,0,,,81199802, Casa o chalet independiente,,,Santa Comba,"grixoax de esternande, 44"," grixoax de esternande, 44 , Santa Comba , Xallas, A Coruña ",,,"Xallas, A Coruña",60,,2019-04-13,,30000,0,2,0,0,0,
Casa con bajo. garaje. atico. vivienda. se puede ver sin problema. muy bien situada.,más de 5 meses sin actualizar,0,0,2,0,0,segunda mano/buen estado,,no indicado,2 plantas,plaza de garaje incluida en el precio,0,,,81742284, Casa de pueblo,,,Mazaricos,Urb. A picota," Calle castelao, 4 , Urb. A picota , Mazaricos , Xallas, A Coruña ","Calle castelao, 4",,"Xallas, A Coruña",200,,2019-04-13,,235000,0,3,0,0,1,
,más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/buen estado,,no indicado,,,0,,,82040280, Casa o chalet independiente,,,Santa Comba,randufe s/n," randufe s/n , Santa Comba , Xallas, A Coruña ",,,"Xallas, A Coruña",80,,2019-04-13,,75000,0,2,0,0,0,
"Encima de la oficina de correos, a 30 km de santiago y a 60 de coruña y a 30 de la costa da morte. rias baixas a 35 km. vistas a parque infantil y piscina municipal exterior.",más de 5 meses sin actualizar,0,0,1,1,0,segunda mano/buen estado,,no indicado,planta 2ª exterior,plaza de garaje incluida en el precio,1,,,30577161,Piso,,1,Santa Comba,Urb. los tilos," Calle Coruña s/n , Urb. los tilos , Santa Comba , Xallas, A Coruña ",Calle Coruña s/n,,"Xallas, A Coruña",65,60,2019-04-13,,65000,0,2,0,1,0,
"Casa unifamiliar en A Choupana Fontecada con finca de 4800m con parte urbanizable. Consta de 110m habitables distribuidos en dos plantas la superior es una buhardilla diafana de 45m. , con un aseo. En la parte baja de 2 habitaciones baño completo, cocina y salon con escalera vista a la buhardilla. Recien reformado, intalacion electrica nueva y fontaneria. Tiene pozo en la propiedad con motor nuevo, fosa aseptica. Tiene terreno alrededor de unos 4700m con la parte que da a la carretera es urbanizable. Ventanas climalit. Para entrar a vivir.",más de 5 meses sin actualizar,0,0,2,0,0,segunda mano/buen estado,,no indicado,2 plantas,,1,,,81953271, Casa o chalet independiente,,,Santa Comba,AC-546 s/n," AC-546 s/n , Santa Comba , Xallas, A Coruña ",,,"Xallas, A Coruña",5000,110,2019-04-13,oeste,140000,0,3,0,0,0,
Construcción tradicional a rehabilitar de planta baja y alta con varios alpendres y cobertizos y solar de 250 m2. Esta situada en el núcleo rural de Vilariño de Beba a 1 km de A Picota (Mazaricos) y a 15 de Serra de Outes (mar). Licencia de obras directa del Ayuntamiento de Mazaricos.,Anuncio actualizado el 4 de marzo,0,0,sin baños,0,0,segunda mano/para reformar,,no indicado,2 plantas,,0,,,28065841, Finca rústica,,,Mazaricos,Avenida Vilariño de Beba s/n," Avenida Vilariño de Beba s/n , Mazaricos , Xallas, A Coruña ",,,"Xallas, A Coruña",250,,2019-04-13,este,16000,0,sin habitación,0,0,0,
"Vendo casa de dos plantas y arrimo. La finca es de 5 ferrados, y consta con un horreo y cerradío. Luz y pozo artesanal. Jardín.",Anuncio actualizado el 13 de diciembre,0,0,1,0,0,segunda mano/para reformar,,no indicado,2 plantas,,0,,,35978429, Casa de pueblo,,,Santa Comba,"Avenida do Brasil, 10"," Avenida do Brasil, 10 , Santa Comba , Xallas, A Coruña ",,,"Xallas, A Coruña",160,,2019-04-13,,80000,0,4,0,0,0,
"Playas de muros y carnota a 15 km. Santiago de compostela a 35 km., la casa dispone de:,portero automático.",Anuncio actualizado el 12 de febrero,0,0,2,0,0,segunda mano/para reformar,,no indicado,,plaza de garaje incluida en el precio,0,,,1909238, Chalet adosado,,,Mazaricos,"Mazaricos, 1"," Mazaricos, 1 , Mazaricos , Xallas, A Coruña ",,,"Xallas, A Coruña",50,,2019-04-13,"sur, oeste",18000,0,3,0,0,0,
