ad_description,ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,condition,construct_date,energetic_certif,floor,garage,garden,ground_size,heating,house_id,house_type,kitchen,lift,loc_city,loc_district,loc_full,loc_neigh,loc_street,loc_zone,m2_real,m2_useful,obtention_date,orientation,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,unfurnished
"Amplio piso de 114 m2 en Orio, provincia de Gipuzkoa. La amplitud de esta vivienda proporciona a una familia con niños todo el espacio que necesita.,Se encuentra en un primer piso con ascensor adaptado y completamente nuevo. Dispone de un amplio y luminoso salón, cuatro habitaciones, dos cuartos de baño, y cocina amueblada, totalmente independiente del resto de estancias y equipada con electrodomésticos. Además, el piso cuenta con terraza, para que disfrutes del buen tiempo y armarios empotrados para optimizar tu espacio de almacenaje. ,La vivienda se vende semiamueblada y en buen estado, lista para entrar a vivir aunque admite alguna reforma. En cuanto a las calidades, este piso cuenta con calefacción de gas, carpintería de aluminio y para que te sientas más seguro en tu hogar, la puerta principal es blindada. ,La localización del piso es estupenda, situada en un pueblo marinero, a 10 minutos del centro de San Sebastián a través de la autopista, AP-8 y N-634. Cuenta con todos los servicios cerca imprescindibles para el día a día, colegios, centro de salud, club de remo, de surf todo ello a escasos minutos a pie.,Llama al 693900894 y visita esta vivienda.,h0o1u6s1e2l8l.",Anuncio actualizado el 25 de febrero,0,0,2,1,0,segunda mano/buen estado,,en trámite,planta 1ª,,0,,,83073991,Piso,,1,Orio,," , Orio , Urola Kosta, Guipúzcoa ",,,"Urola Kosta, Guipúzcoa",114,,2019-04-01,,280000,0,4,0,0,1,
,más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/buen estado,,no indicado,planta 1ª exterior,,0,,,39735041,Piso,,0,Azkoitia,"Calle Klara Donea, 22"," Calle Klara Donea, 22 , Azkoitia , Urola Kosta, Guipúzcoa ",,,"Urola Kosta, Guipúzcoa",90,,2019-04-01,,108000,0,4,0,0,0,
"CASA,Azkoitia. Casa de campo en plena naturaleza , 300 m construidos mas una borda . Cocina, baño completo , comedor con chimenea y tres habitaciones en planta superior. En planta baja garaje para cuatro coches , sala de caldera, baño y una pequeña bodega, tres hectáreas de tereno. Garaje. Amueblado",más de 5 meses sin actualizar,0,0,2,0,0,segunda mano/buen estado,,no indicado,1 planta,,0,,,81822662, Casa o chalet independiente,,,Azkoitia,Urb. Azkoitia," Martires, 75 , Urb. Azkoitia , Azkoitia , Urola Kosta, Guipúzcoa ","Martires, 75",,"Urola Kosta, Guipúzcoa",300,,2019-04-01,,360000,0,3,0,0,0,
"La vivienda está situada en la primera planta, es completamente exterior y está reformada.,Consta de 3 dormitorios, amplia cocina abierta a la sala, dos baños uno de ellos integrado en el dormitorio principal y trastero. También tiene garaje cerrado y un desván grande.,La vivienda está en muy buenas condiciones en un barrio muy tranquilo y cerca de colegios y del centro.",más de 5 meses sin actualizar,0,0,2,0,0,segunda mano/buen estado,,en trámite,planta 1ª exterior,plaza de garaje incluida en el precio,0,,,82144233,Piso,,1,Azpeitia,"Calle Grupo Garmendi, 13"," Calle Grupo Garmendi, 13 , Azpeitia , Urola Kosta, Guipúzcoa ",,,"Urola Kosta, Guipúzcoa",106,,2019-04-01,,165000,0,3,1,0,0,
,más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/buen estado,,no indicado,planta 2ª exterior,,0,,,447508,Piso,,0,Azkoitia,"Barrio Txalon-Erreka, 6"," Barrio Txalon-Erreka, 6 , Azkoitia , Urola Kosta, Guipúzcoa ",,,"Urola Kosta, Guipúzcoa",78,,2019-04-01,,132000,0,3,0,0,0,
"Hola,,Este piso consta de 4 habitaciones, 2 baños (ambos con bañera), un salon y una cocina totalmente equipada. Ademas, cuenta con un trastero en la parte superior del edificio y un garaje privado. ,Las personas interensadas pueden contactar por email o por telefono sin ningun compromiso. ,Gracias.",más de 5 meses sin actualizar,1,1,2,0,0,segunda mano/buen estado,,,planta 6ª exterior,plaza de garaje incluida en el precio,0,,,40119659,Piso,,1,Azpeitia,"Bārrenetxe Āvzvneā, 8"," Bārrenetxe Āvzvneā, 8 , Azpeitia , Urola Kosta, Guipúzcoa ",,,"Urola Kosta, Guipúzcoa",105,,2019-04-01,,235000,0,4,1,0,0,
"Caserio ubicado en la localidad de Aia (GIPUZKOA), en el interior del parque natural de Pagoeta.,Consta de tres plantas, BAJA (totalmente reformada ), 1ª PLANTA, diáfana y 2ª PLANTA.,Calefacción con chimenea de leña.",más de 5 meses sin actualizar,0,0,1,0,1,segunda mano/buen estado,,en trámite,3 plantas,plaza de garaje incluida en el precio,1,,,36709763, Casa rural,,,Aia,"Laurgain Auzoa Barreiatua, 3"," Laurgain Auzoa Barreiatua, 3 , Aia , Urola Kosta, Guipúzcoa ",,,"Urola Kosta, Guipúzcoa",180000,350,2019-04-01,"norte, sur, este, oeste",378000,0,2,1,0,0,
,más de 5 meses sin actualizar,0,0,4,1,0,segunda mano/buen estado,,,3 plantas,plaza de garaje incluida en el precio,1,,,28042174, Chalet adosado,,,Aia,Urb. ARMENDIGAIN," Calle Armendi-Gain Kalea, 10 , Urb. ARMENDIGAIN , Aia , Urola Kosta, Guipúzcoa ","Calle Armendi-Gain Kalea, 10",,"Urola Kosta, Guipúzcoa",675,350,2019-04-01,"norte, este, oeste",565000,0,4,1,0,1,
"4 plantas, urbanización con piscina, a 10 minutos de Zarautz, todo exterior. Sotano: garaje para dos coches y moto, trastero y txoko, primera planta: salon con terraza y jardin, cocina, baño, entrada con pequeño jardin, primera planta 3 habitaciones y dos balis, tercera planta: atico con gran terraza.",más de 5 meses sin actualizar,0,0,4,1,0,segunda mano/buen estado,,en trámite,4 plantas,plaza de garaje incluida en el precio,1,,,31733348, Chalet adosado,,,Aizarnazabal,"Calle gaiko, 2"," Calle gaiko, 2 , Aizarnazabal , Urola Kosta, Guipúzcoa ",,,"Urola Kosta, Guipúzcoa",300,280,2019-04-01,,360000,0,4,1,1,1,
"Bonito piso en Erdi Kale. Amueblado y en muy buen estado.,3 habitaciones, baño, cocina y salón.,Opción de venta conjunta con piso superior con posibilidad de dúplex. Precio a convenir.",más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/buen estado,,en trámite,planta 3ª exterior,,0,,,37331715,Piso,,0,Azpeitia,"Erdi Kale, 12"," Erdi Kale, 12 , Azpeitia , Urola Kosta, Guipúzcoa ",,,"Urola Kosta, Guipúzcoa",72,70,2019-04-01,,108000,0,3,0,0,0,
