ad_description,ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,condition,construct_date,energetic_certif,floor,garage,garden,ground_size,heating,house_id,house_type,kitchen,lift,loc_city,loc_district,loc_full,loc_neigh,loc_street,loc_zone,m2_real,m2_useful,obtention_date,orientation,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,unfurnished
"Particular vende piso de 103 m² en Pinto, provincia de Madrid. Esta vivienda, por su amplitud y tranquilidad, satisface las necesidades de una familia con niños.,Se encuentra en un 4º piso con ascensor y cuenta con 96 m² útiles, muy bien distribuidos, con un luminoso salón, cocina amueblada con despensa de obra, totalmente independiente del resto de estancias y equipada con electrodomésticos, la cocina de gas es nueva, tres dormitorios con armarios a medida y un cuarto de baño completo y con ventana exterior. Además, el piso cuenta con terraza donde hay un funcional trastero, para que disfrutes del buen tiempo. El inmueble es todo exterior y cuenta con una amplia plaza de garaje. ,Por su orientación sur, es una casa muy soleada en las horas centrales del día disminuyendo el consumo de calefacción. Se vende amueblado y con los electrodomésticos incluidos, también se deja televisión, el piso se encuentra para entrar a vivir. En cuanto a las calidades, este piso cuenta con calefacción de gas natural, aire acondicionado con bomba de calor en el salón y dormitorio principal, suelo de parquet que da mucha calidez a la vivienda, ventanas dobles y de climalit y, para que te sientas más seguro en tu hogar, la puerta principal es blindada. La cuota de la comunidad incluye el consumo de agua.,Cuenta con acceso para minusválidos y es una zona de fácil aparcamiento.,Con muy buena ubicación, con rápido acceso a A-4. Todos los servicios a 2 minutos, centros educativos para todas las edades, supermercados, ambulatorio y todo tipo de tiendas, la parada de tren a 10 minutos, parque Warner a 15 minutos en coche. Está ubicado al lado de Zonas verdes (Parque Norte). Zona muy tranquila al tener el acceso en una calle cerrada lo que evita el tráfico.,Llama al 693900894 para hacer una visita.,h1o0u0s1e8l8l.",Anuncio actualizado el 10 de abril,1,0,1,0,0,segunda mano/buen estado,1976,en trámite,planta 4ª exterior,plaza de garaje incluida en el precio,0,,,83346506,Piso,,1,Pinto,Distrito Parque Europa - Los Pitufos," , Distrito Parque Europa - Los Pitufos , Pinto , Zona sur, Madrid ",,,"Zona sur, Madrid",103,96,2019-04-12,,164900,0,3,0,0,1,
"El suelo de la planta superior es de tarima, la calefaccion es por gasoleo, posibilidad de abrir el techo para acceder a otra planta, jardin delantero y trasero, proximo a colegios comercios transportes.",más de 5 meses sin actualizar,1,0,2,1,0,segunda mano/buen estado,,no indicado,2 plantas,plaza de garaje incluida en el precio,0,,,38939811, Chalet adosado,,,Pinto,Distrito Parque Europa - Los Pitufos," Calle de la Paz, 7 , Urb. los pitufos , Distrito Parque Europa - Los Pitufos , Pinto , Zona sur, Madrid ",Urb. los pitufos,"Calle de la Paz, 7","Zona sur, Madrid",120,,2019-04-12,,370000,0,4,1,0,1,
,más de 5 meses sin actualizar,0,0,2,0,0,segunda mano/buen estado,,no indicado,planta 2ª exterior,plaza de garaje incluida en el precio,0,,,29193861,Piso,,1,Pinto,Distrito Puerta Pinto - Valparaíso," Calle de San Juan, 18 , Distrito Puerta Pinto - Valparaíso , Pinto , Zona sur, Madrid ","Calle de San Juan, 18",,"Zona sur, Madrid",99,,2019-04-12,,190000,0,3,0,0,0,
,más de 5 meses sin actualizar,1,0,3,1,0,segunda mano/buen estado,,,4 plantas,plaza de garaje incluida en el precio,1,,,37200315, Chalet pareado,,,Pinto,Distrito Parque Europa - Los Pitufos," Calle Suecia, 9 , Urb. Parque Europa , Distrito Parque Europa - Los Pitufos , Pinto , Zona sur, Madrid ",Urb. Parque Europa,"Calle Suecia, 9","Zona sur, Madrid",240,215,2019-04-12,"norte, sur",450000,0,4,1,1,1,
"Parque Europa. Plaza David Martín junto ambulatorio Instituto, Colegio, Piscina, Polideportivo, Supermercado. Dúplex 125,98 m2, cuatro habitaciones, dos baños, tres terrazas, una de 23m2, plaza de garaje de 28,65 m2.5 armarios empotrados, varios de ellos dobles. Opcional 1 trastero. Posibilidad ampliación baño y dormitorio o construir trastero dentro de vivienda. Construcción diciembre 2000. Jardín privado. AA. Acumulares. Próxima instalación gas natural. Para Entrar a vivir., distribución:, terraza descubierta de 23 m2, 3 vecinos en el edificio, la casa dispone de:,portero automático.",más de 5 meses sin actualizar,1,0,2,1,0,segunda mano/buen estado,2000,no indicado,planta 3ª exterior,plaza de garaje incluida en el precio,1,,,1806508,Dúplex,,1,Pinto,Distrito Parque Europa - Los Pitufos," Avenida Europa, 29 , Distrito Parque Europa - Los Pitufos , Pinto , Zona sur, Madrid ","Avenida Europa, 29",,"Zona sur, Madrid",169,100,2019-04-12,"sur, este",282000,1,4,1,0,1,
"Vivienda 1º piso, 2 habitaciones y 2 baños (1 bañera 1 ducha), 2 PLAZAS DE GARAJE MUY AMPLIAS, MEJORAS: Tendedero cerrado acristalado y con encimera. Aire acondicionado Inverter con bomba de calor por conductos incluso en cocina, Amueblado. Calefacción gas natural, Trastero. Ascensor, piscina, parque infantil, amplias zonas comunes, muy tranquilo. Luminoso con sol de mañana. Perfecto estado, amueblado y listo para entrar a vivir. Da a las zonas comunes de la urbanización. Conserjería 24 horas y videovigilancia. Servicios RENFE, Médico, Mercadona, Colegio etc muy cercanos. A 5 minutos de la estación de RENFE de Pinto, a 2 minutos de la A-4 y con tren 20 min a Puerta del Sol.",más de 5 meses sin actualizar,1,0,2,1,0,segunda mano/buen estado,,,planta 1ª interior,plaza de garaje incluida en el precio,1,,calefacción individual: gas natural,36503576,Piso,,1,Pinto,Distrito San José - Buenos Aires," Calle de Nicolás Fuster, 13 -16 , Urb. Princesa deÉboli , Distrito San José - Buenos Aires , Pinto , Zona sur, Madrid ",Urb. Princesa deÉboli,"Calle de Nicolás Fuster, 13 -16","Zona sur, Madrid",84,,2019-04-12,este,190000,0,2,1,1,1,
"NO AGENCIAS,出售位于Pinto (马德里省)市外的别墅。,出售位于Pinto (马德里省)市外的别墅。总面积为1300平方米，建筑面积为356平方米分为只有一层和地下室。内部分布为:,地下室: 2间双人房，浴室，客厅，客厅-餐厅，独立厨房，开放式厨房，门厅，花园，杂物间和车库。,主层: 4间双人房，2个浴室，客厅，餐厅，独立厨房，办公室，工作室，书房，门厅，花园，露台，门廊。,此别墅建造于1986年。曾经进行过部分装修，所以可以直接入住，目前配备部分家具（家具的价格是可以商议的）。,周围拥有的服务：学校，药店，健康中心 ，医院，超市，商业中心，餐馆，安静区域，公园，靠近高速公路，公交车站和火车站。,Se vende chalet en Pinto, al otro lado de la vía, junto al parque Fuster, sin ruidos y muy luminoso. Tiene aire acondicionado y calefacción en todas las estancias incluida la cocina. Un gran salón con comedor para 15 personas, chimenea y despacho. La planta superior tiene cocina con salida al patio, gran despensa, 4 habitaciones grandes con armarios grandes empotrados de maderas nobles, dos baños, uno integrado en la habitación principal que cuenta con vestidor, hall de entrada con recibidor y jardín de entrada. La casa cuenta con un armario empotrado en el pasillo distribuidor. En la planta baja hay un gimnasio, una habitación de invitados, un baño, cocina, gran salón con comedor para 25 personas y barra de bar, bodega, chimenea, acceso al garaje con taller para tres coches grandes, cuarto de calderas y trastero. Puertas automatizadas tanto en el garaje como en la salida al exterior. El Patio posterior es una gran pradera con árboles que dan mucha sombra, trastero para jardinería y leñera. Cuenta con una zona sombreada por una parra y una barbacoa de gran tamaño.",más de 5 meses sin actualizar,1,0,3,1,0,segunda mano/buen estado,1986,no indicado,2 plantas,plaza de garaje incluida en el precio,1,,,40444637, Casa o chalet independiente,,,Pinto,Distrito San José - Buenos Aires," Calle de Ignacio Fuster, 12 , Distrito San José - Buenos Aires , Pinto , Zona sur, Madrid ","Calle de Ignacio Fuster, 12",,"Zona sur, Madrid",1300,,2019-04-12,sur,600000,0,7,1,0,1,
todo reformado.,Anuncio actualizado el 8 de abril,1,0,1,0,0,segunda mano/buen estado,,,planta 2ª exterior,,0,,,400052,Piso,,0,Pinto,Distrito Centro - Ayuntamiento," Calle San Diego de Alcala, 13 , Distrito Centro - Ayuntamiento , Pinto , Zona sur, Madrid ","Calle San Diego de Alcala, 13",,"Zona sur, Madrid",50,,2019-04-12,,159000,0,2,0,0,1,
2ª plaza de garaje incluida también en el precio.,Anuncio actualizado el 8 de abril,1,0,2,1,0,segunda mano/buen estado,,en trámite,planta 4ª exterior,plaza de garaje incluida en el precio,1,,,81337808,Ático,,1,Pinto,Distrito Teneria i - Teneria Ii," Calle Antonio Saura, 3 , Distrito Teneria i - Teneria Ii , Pinto , Zona sur, Madrid ","Calle Antonio Saura, 3",,"Zona sur, Madrid",140,,2019-04-12,"sur, este",380000,0,4,1,0,1,
,Anuncio actualizado el 20 de noviembre,0,0,1,0,0,segunda mano/buen estado,,no indicado,planta 1ª exterior,,0,,,83212059,Piso,,0,Pinto,Distrito Centro - Ayuntamiento," Calle Egido de la Fuente, 1 , Distrito Centro - Ayuntamiento , Pinto , Zona sur, Madrid ","Calle Egido de la Fuente, 1",,"Zona sur, Madrid",65,,2019-04-12,,137000,0,2,0,0,0,
